,response,context,context/0,context/1,context/2,context/3,context/4,context/5
708,Jeg fikk henne til å sove.,2 Utrolig! Hun sover.,1 Det virket!,Er jeg blitt døv?,2 -Jeg må skrike inn i ei pute.,-Jeg må på do.,"1 Ta henne, er du snill.",å kle seg utfordrende!
709,1 Jeg har magiske krefter.,Jeg fikk henne til å sove.,2 Utrolig! Hun sover.,1 Det virket!,Er jeg blitt døv?,2 -Jeg må skrike inn i ei pute.,-Jeg må på do.,"1 Ta henne, er du snill."
710,Jeg kan høre trafikk og fugler.,1 Jeg har magiske krefter.,Jeg fikk henne til å sove.,2 Utrolig! Hun sover.,1 Det virket!,Er jeg blitt døv?,2 -Jeg må skrike inn i ei pute.,-Jeg må på do.
711,2 Jeg kan høre,Jeg kan høre trafikk og fugler.,1 Jeg har magiske krefter.,Jeg fikk henne til å sove.,2 Utrolig! Hun sover.,1 Det virket!,Er jeg blitt døv?,2 -Jeg må skrike inn i ei pute.
712,stemmene i hodet mitt igjen.,2 Jeg kan høre,Jeg kan høre trafikk og fugler.,1 Jeg har magiske krefter.,Jeg fikk henne til å sove.,2 Utrolig! Hun sover.,1 Det virket!,Er jeg blitt døv?
713,Jeg tuller!,stemmene i hodet mitt igjen.,2 Jeg kan høre,Jeg kan høre trafikk og fugler.,1 Jeg har magiske krefter.,Jeg fikk henne til å sove.,2 Utrolig! Hun sover.,1 Det virket!
714,1 Himmel!,Jeg tuller!,stemmene i hodet mitt igjen.,2 Jeg kan høre,Jeg kan høre trafikk og fugler.,1 Jeg har magiske krefter.,Jeg fikk henne til å sove.,2 Utrolig! Hun sover.
715,2 Du fikk henne til å slutte å gråte.,1 Himmel!,Jeg tuller!,stemmene i hodet mitt igjen.,2 Jeg kan høre,Jeg kan høre trafikk og fugler.,1 Jeg har magiske krefter.,Jeg fikk henne til å sove.
716,1 Ja!,2 Du fikk henne til å slutte å gråte.,1 Himmel!,Jeg tuller!,stemmene i hodet mitt igjen.,2 Jeg kan høre,Jeg kan høre trafikk og fugler.,1 Jeg har magiske krefter.
717,2 Jeg er Supertante Monica.,1 Ja!,2 Du fikk henne til å slutte å gråte.,1 Himmel!,Jeg tuller!,stemmene i hodet mitt igjen.,2 Jeg kan høre,Jeg kan høre trafikk og fugler.
718,1 Du er den offisielle,2 Jeg er Supertante Monica.,1 Ja!,2 Du fikk henne til å slutte å gråte.,1 Himmel!,Jeg tuller!,stemmene i hodet mitt igjen.,2 Jeg kan høre
719,barnegråtstanseren!,1 Du er den offisielle,2 Jeg er Supertante Monica.,1 Ja!,2 Du fikk henne til å slutte å gråte.,1 Himmel!,Jeg tuller!,stemmene i hodet mitt igjen.
720,2 Du får aldri gå herfra!,barnegråtstanseren!,1 Du er den offisielle,2 Jeg er Supertante Monica.,1 Ja!,2 Du fikk henne til å slutte å gråte.,1 Himmel!,Jeg tuller!
721,1 Du må være her døgnet rundt.,2 Du får aldri gå herfra!,barnegråtstanseren!,1 Du er den offisielle,2 Jeg er Supertante Monica.,1 Ja!,2 Du fikk henne til å slutte å gråte.,1 Himmel!
722,"Når hun gråter, trenger jeg deg.",1 Du må være her døgnet rundt.,2 Du får aldri gå herfra!,barnegråtstanseren!,1 Du er den offisielle,2 Jeg er Supertante Monica.,1 Ja!,2 Du fikk henne til å slutte å gråte.
723,2 Så bra at du trenger meg.,"Når hun gråter, trenger jeg deg.",1 Du må være her døgnet rundt.,2 Du får aldri gå herfra!,barnegråtstanseren!,1 Du er den offisielle,2 Jeg er Supertante Monica.,1 Ja!
724,Men nå må jeg stikke. ,2 Så bra at du trenger meg.,"Når hun gråter, trenger jeg deg.",1 Du må være her døgnet rundt.,2 Du får aldri gå herfra!,barnegråtstanseren!,1 Du er den offisielle,2 Jeg er Supertante Monica.
725,"1 Vi ses, Supertante.",Men nå må jeg stikke. ,2 Så bra at du trenger meg.,"Når hun gråter, trenger jeg deg.",1 Du må være her døgnet rundt.,2 Du får aldri gå herfra!,barnegråtstanseren!,1 Du er den offisielle
726,2 Jeg er tilbake om 6-8 måneder.,"1 Vi ses, Supertante.",Men nå må jeg stikke. ,2 Så bra at du trenger meg.,"Når hun gråter, trenger jeg deg.",1 Du må være her døgnet rundt.,2 Du får aldri gå herfra!,barnegråtstanseren!
727,1 Jeg skal ta meg en lur.,2 Jeg er tilbake om 6-8 måneder.,"1 Vi ses, Supertante.",Men nå må jeg stikke. ,2 Så bra at du trenger meg.,"Når hun gråter, trenger jeg deg.",1 Du må være her døgnet rundt.,2 Du får aldri gå herfra!
728,2 l boka står det at jeg bør sove,1 Jeg skal ta meg en lur.,2 Jeg er tilbake om 6-8 måneder.,"1 Vi ses, Supertante.",Men nå må jeg stikke. ,2 Så bra at du trenger meg.,"Når hun gråter, trenger jeg deg.",1 Du må være her døgnet rundt.
729,når hun sover. Tusen takk!,2 l boka står det at jeg bør sove,1 Jeg skal ta meg en lur.,2 Jeg er tilbake om 6-8 måneder.,"1 Vi ses, Supertante.",Men nå må jeg stikke. ,2 Så bra at du trenger meg.,"Når hun gråter, trenger jeg deg."
730,1 -Hei.,når hun sover. Tusen takk!,2 l boka står det at jeg bør sove,1 Jeg skal ta meg en lur.,2 Jeg er tilbake om 6-8 måneder.,"1 Vi ses, Supertante.",Men nå må jeg stikke. ,2 Så bra at du trenger meg.
731,2 -Hun har nettopp sovnet.,1 -Hei.,når hun sover. Tusen takk!,2 l boka står det at jeg bør sove,1 Jeg skal ta meg en lur.,2 Jeg er tilbake om 6-8 måneder.,"1 Vi ses, Supertante.",Men nå må jeg stikke. 
732,1 Så ingen kan skrike?,2 -Hun har nettopp sovnet.,1 -Hei.,når hun sover. Tusen takk!,2 l boka står det at jeg bør sove,1 Jeg skal ta meg en lur.,2 Jeg er tilbake om 6-8 måneder.,"1 Vi ses, Supertante."
733,2 Nei.,1 Så ingen kan skrike?,2 -Hun har nettopp sovnet.,1 -Hei.,når hun sover. Tusen takk!,2 l boka står det at jeg bør sove,1 Jeg skal ta meg en lur.,2 Jeg er tilbake om 6-8 måneder.
734,1 Vi skal flytte til Tulsa.,2 Nei.,1 Så ingen kan skrike?,2 -Hun har nettopp sovnet.,1 -Hei.,når hun sover. Tusen takk!,2 l boka står det at jeg bør sove,1 Jeg skal ta meg en lur.
735,2 Jeg kan ikke høre deg.,1 Vi skal flytte til Tulsa.,2 Nei.,1 Så ingen kan skrike?,2 -Hun har nettopp sovnet.,1 -Hei.,når hun sover. Tusen takk!,2 l boka står det at jeg bør sove
736,1 Hei.,2 Jeg kan ikke høre deg.,1 Vi skal flytte til Tulsa.,2 Nei.,1 Så ingen kan skrike?,2 -Hun har nettopp sovnet.,1 -Hei.,når hun sover. Tusen takk!
737,2 Hvor har du vært?,1 Hei.,2 Jeg kan ikke høre deg.,1 Vi skal flytte til Tulsa.,2 Nei.,1 Så ingen kan skrike?,2 -Hun har nettopp sovnet.,1 -Hei.
738,1 -Hva har skjedd?,2 Hvor har du vært?,1 Hei.,2 Jeg kan ikke høre deg.,1 Vi skal flytte til Tulsa.,2 Nei.,1 Så ingen kan skrike?,2 -Hun har nettopp sovnet.
739,2 -Jeg sloss med Joey.,1 -Hva har skjedd?,2 Hvor har du vært?,1 Hei.,2 Jeg kan ikke høre deg.,1 Vi skal flytte til Tulsa.,2 Nei.,1 Så ingen kan skrike?
740,"1 Synes du dette er ille,",2 -Jeg sloss med Joey.,1 -Hva har skjedd?,2 Hvor har du vært?,1 Hei.,2 Jeg kan ikke høre deg.,1 Vi skal flytte til Tulsa.,2 Nei.
741,skulle du ha sett ham.,"1 Synes du dette er ille,",2 -Jeg sloss med Joey.,1 -Hva har skjedd?,2 Hvor har du vært?,1 Hei.,2 Jeg kan ikke høre deg.,1 Vi skal flytte til Tulsa.
742,2 Dette er ikke bra!,skulle du ha sett ham.,"1 Synes du dette er ille,",2 -Jeg sloss med Joey.,1 -Hva har skjedd?,2 Hvor har du vært?,1 Hei.,2 Jeg kan ikke høre deg.
743,1 Vi må prate om det som skjedde.,2 Dette er ikke bra!,skulle du ha sett ham.,"1 Synes du dette er ille,",2 -Jeg sloss med Joey.,1 -Hva har skjedd?,2 Hvor har du vært?,1 Hei.
744,Vær så god og sitt ned.,1 Vi må prate om det som skjedde.,2 Dette er ikke bra!,skulle du ha sett ham.,"1 Synes du dette er ille,",2 -Jeg sloss med Joey.,1 -Hva har skjedd?,2 Hvor har du vært?
745,2 Takk!,Vær så god og sitt ned.,1 Vi må prate om det som skjedde.,2 Dette er ikke bra!,skulle du ha sett ham.,"1 Synes du dette er ille,",2 -Jeg sloss med Joey.,1 -Hva har skjedd?
746,1 Du må komme over dette med Joey.,2 Takk!,Vær så god og sitt ned.,1 Vi må prate om det som skjedde.,2 Dette er ikke bra!,skulle du ha sett ham.,"1 Synes du dette er ille,",2 -Jeg sloss med Joey.
747,2 Jeg ville egentlig ikke,1 Du må komme over dette med Joey.,2 Takk!,Vær så god og sitt ned.,1 Vi må prate om det som skjedde.,2 Dette er ikke bra!,skulle du ha sett ham.,"1 Synes du dette er ille,"
748,gifte meg med ham.,2 Jeg ville egentlig ikke,1 Du må komme over dette med Joey.,2 Takk!,Vær så god og sitt ned.,1 Vi må prate om det som skjedde.,2 Dette er ikke bra!,skulle du ha sett ham.
749,1 Vet du hva jeg aller helst vil?,gifte meg med ham.,2 Jeg ville egentlig ikke,1 Du må komme over dette med Joey.,2 Takk!,Vær så god og sitt ned.,1 Vi må prate om det som skjedde.,2 Dette er ikke bra!
750,2 Jeg vil sove!,1 Vet du hva jeg aller helst vil?,gifte meg med ham.,2 Jeg ville egentlig ikke,1 Du må komme over dette med Joey.,2 Takk!,Vær så god og sitt ned.,1 Vi må prate om det som skjedde.
751,1 Jeg vil spise.,2 Jeg vil sove!,1 Vet du hva jeg aller helst vil?,gifte meg med ham.,2 Jeg ville egentlig ikke,1 Du må komme over dette med Joey.,2 Takk!,Vær så god og sitt ned.
752,2 Jeg vil ta en dusj.,1 Jeg vil spise.,2 Jeg vil sove!,1 Vet du hva jeg aller helst vil?,gifte meg med ham.,2 Jeg ville egentlig ikke,1 Du må komme over dette med Joey.,2 Takk!
753,"1 Før hun våkner,",2 Jeg vil ta en dusj.,1 Jeg vil spise.,2 Jeg vil sove!,1 Vet du hva jeg aller helst vil?,gifte meg med ham.,2 Jeg ville egentlig ikke,1 Du må komme over dette med Joey.
754,og vi må gjøre dette om igjen.,"1 Før hun våkner,",2 Jeg vil ta en dusj.,1 Jeg vil spise.,2 Jeg vil sove!,1 Vet du hva jeg aller helst vil?,gifte meg med ham.,2 Jeg ville egentlig ikke
755,Jeg skal nemlig si deg noe:,og vi må gjøre dette om igjen.,"1 Før hun våkner,",2 Jeg vil ta en dusj.,1 Jeg vil spise.,2 Jeg vil sove!,1 Vet du hva jeg aller helst vil?,gifte meg med ham.
756,Emma er ikke lett.,Jeg skal nemlig si deg noe:,og vi må gjøre dette om igjen.,"1 Før hun våkner,",2 Jeg vil ta en dusj.,1 Jeg vil spise.,2 Jeg vil sove!,1 Vet du hva jeg aller helst vil?
757,2 Det er derfor jeg er her.,Emma er ikke lett.,Jeg skal nemlig si deg noe:,og vi må gjøre dette om igjen.,"1 Før hun våkner,",2 Jeg vil ta en dusj.,1 Jeg vil spise.,2 Jeg vil sove!
758,1 -Skal jeg ta henne?,2 Det er derfor jeg er her.,Emma er ikke lett.,Jeg skal nemlig si deg noe:,og vi må gjøre dette om igjen.,"1 Før hun våkner,",2 Jeg vil ta en dusj.,1 Jeg vil spise.
759,2 -Nei da.,1 -Skal jeg ta henne?,2 Det er derfor jeg er her.,Emma er ikke lett.,Jeg skal nemlig si deg noe:,og vi må gjøre dette om igjen.,"1 Før hun våkner,",2 Jeg vil ta en dusj.
760,1 -Monica!,2 -Nei da.,1 -Skal jeg ta henne?,2 Det er derfor jeg er her.,Emma er ikke lett.,Jeg skal nemlig si deg noe:,og vi må gjøre dette om igjen.,"1 Før hun våkner,"
761,2 -Jeg har henne.,1 -Monica!,2 -Nei da.,1 -Skal jeg ta henne?,2 Det er derfor jeg er her.,Emma er ikke lett.,Jeg skal nemlig si deg noe:,og vi må gjøre dette om igjen.
762,"1 Jeg har tenkt. Det er ikke min feil,",2 -Jeg har henne.,1 -Monica!,2 -Nei da.,1 -Skal jeg ta henne?,2 Det er derfor jeg er her.,Emma er ikke lett.,Jeg skal nemlig si deg noe:
763,det er et naturlig instinkt.,"1 Jeg har tenkt. Det er ikke min feil,",2 -Jeg har henne.,1 -Monica!,2 -Nei da.,1 -Skal jeg ta henne?,2 Det er derfor jeg er her.,Emma er ikke lett.
764,1 Må du også dra?,2 -Opptil ett år.,1 -Hvor lenge må du være borte?,På mandag blir jeg forflyttet.,å lede kontoret.,2 Firmaet har bedt meg om,at vi måtte styrte bort hit?,1 Hva var så viktig
765,2 Jeg er vel nødt.,1 Må du også dra?,2 -Opptil ett år.,1 -Hvor lenge må du være borte?,På mandag blir jeg forflyttet.,å lede kontoret.,2 Firmaet har bedt meg om,at vi måtte styrte bort hit?
766,På grunn av denne dumme greia.,2 Jeg er vel nødt.,1 Må du også dra?,2 -Opptil ett år.,1 -Hvor lenge må du være borte?,På mandag blir jeg forflyttet.,å lede kontoret.,2 Firmaet har bedt meg om
767,1 lngenting er som,På grunn av denne dumme greia.,2 Jeg er vel nødt.,1 Må du også dra?,2 -Opptil ett år.,1 -Hvor lenge må du være borte?,På mandag blir jeg forflyttet.,å lede kontoret.
768,"en kjærlig, støttende kone.",1 lngenting er som,På grunn av denne dumme greia.,2 Jeg er vel nødt.,1 Må du også dra?,2 -Opptil ett år.,1 -Hvor lenge må du være borte?,På mandag blir jeg forflyttet.
769,2 Du kan ikke dra dit. Vi har,"en kjærlig, støttende kone.",1 lngenting er som,På grunn av denne dumme greia.,2 Jeg er vel nødt.,1 Må du også dra?,2 -Opptil ett år.,1 -Hvor lenge må du være borte?
770,billetter til neste ukes fotballkamp!,2 Du kan ikke dra dit. Vi har,"en kjærlig, støttende kone.",1 lngenting er som,På grunn av denne dumme greia.,2 Jeg er vel nødt.,1 Må du også dra?,2 -Opptil ett år.
771,1 Beklager.,billetter til neste ukes fotballkamp!,2 Du kan ikke dra dit. Vi har,"en kjærlig, støttende kone.",1 lngenting er som,På grunn av denne dumme greia.,2 Jeg er vel nødt.,1 Må du også dra?
772,Men jeg kan ikke bli med.,1 Beklager.,billetter til neste ukes fotballkamp!,2 Du kan ikke dra dit. Vi har,"en kjærlig, støttende kone.",1 lngenting er som,På grunn av denne dumme greia.,2 Jeg er vel nødt.
773,2 Vi skulle jo se kamp!,Men jeg kan ikke bli med.,1 Beklager.,billetter til neste ukes fotballkamp!,2 Du kan ikke dra dit. Vi har,"en kjærlig, støttende kone.",1 lngenting er som,På grunn av denne dumme greia.
774,1 Du kan ikke dra. Du er limet,2 Vi skulle jo se kamp!,Men jeg kan ikke bli med.,1 Beklager.,billetter til neste ukes fotballkamp!,2 Du kan ikke dra dit. Vi har,"en kjærlig, støttende kone.",1 lngenting er som
775,som holder gruppen sammen.,1 Du kan ikke dra. Du er limet,2 Vi skulle jo se kamp!,Men jeg kan ikke bli med.,1 Beklager.,billetter til neste ukes fotballkamp!,2 Du kan ikke dra dit. Vi har,"en kjærlig, støttende kone."
776,2 lkke du!,som holder gruppen sammen.,1 Du kan ikke dra. Du er limet,2 Vi skulle jo se kamp!,Men jeg kan ikke bli med.,1 Beklager.,billetter til neste ukes fotballkamp!,2 Du kan ikke dra dit. Vi har
777,1 Jeg kan ikke fatte,2 lkke du!,som holder gruppen sammen.,1 Du kan ikke dra. Du er limet,2 Vi skulle jo se kamp!,Men jeg kan ikke bli med.,1 Beklager.,billetter til neste ukes fotballkamp!
778,at dere skal flytte.,1 Jeg kan ikke fatte,2 lkke du!,som holder gruppen sammen.,1 Du kan ikke dra. Du er limet,2 Vi skulle jo se kamp!,Men jeg kan ikke bli med.,1 Beklager.
779,Fritt for leiligheten!,at dere skal flytte.,1 Jeg kan ikke fatte,2 lkke du!,som holder gruppen sammen.,1 Du kan ikke dra. Du er limet,2 Vi skulle jo se kamp!,Men jeg kan ikke bli med.
780,2 Vær så god.,Fritt for leiligheten!,at dere skal flytte.,1 Jeg kan ikke fatte,2 lkke du!,som holder gruppen sammen.,1 Du kan ikke dra. Du er limet,2 Vi skulle jo se kamp!
781,1 -Jeg vet ikke om jeg kan ha koffein.,2 Vær så god.,Fritt for leiligheten!,at dere skal flytte.,1 Jeg kan ikke fatte,2 lkke du!,som holder gruppen sammen.,1 Du kan ikke dra. Du er limet
782,2 -Én kopp kaffe skader ikke melken.,1 -Jeg vet ikke om jeg kan ha koffein.,2 Vær så god.,Fritt for leiligheten!,at dere skal flytte.,1 Jeg kan ikke fatte,2 lkke du!,som holder gruppen sammen.
783,1 For å være sikker,2 -Én kopp kaffe skader ikke melken.,1 -Jeg vet ikke om jeg kan ha koffein.,2 Vær så god.,Fritt for leiligheten!,at dere skal flytte.,1 Jeg kan ikke fatte,2 lkke du!
784,vil jeg ringe til legen.,1 For å være sikker,2 -Én kopp kaffe skader ikke melken.,1 -Jeg vet ikke om jeg kan ha koffein.,2 Vær så god.,Fritt for leiligheten!,at dere skal flytte.,1 Jeg kan ikke fatte
785,2 Hver eneste gang?,vil jeg ringe til legen.,1 For å være sikker,2 -Én kopp kaffe skader ikke melken.,1 -Jeg vet ikke om jeg kan ha koffein.,2 Vær så god.,Fritt for leiligheten!,at dere skal flytte.
786,1 Du må ikke ringe hver gang,2 Hver eneste gang?,vil jeg ringe til legen.,1 For å være sikker,2 -Én kopp kaffe skader ikke melken.,1 -Jeg vet ikke om jeg kan ha koffein.,2 Vær så god.,Fritt for leiligheten!
787,du lurer på noe. Stol på meg.,1 Du må ikke ringe hver gang,2 Hver eneste gang?,vil jeg ringe til legen.,1 For å være sikker,2 -Én kopp kaffe skader ikke melken.,1 -Jeg vet ikke om jeg kan ha koffein.,2 Vær så god.
788,2 Greit.,du lurer på noe. Stol på meg.,1 Du må ikke ringe hver gang,2 Hver eneste gang?,vil jeg ringe til legen.,1 For å være sikker,2 -Én kopp kaffe skader ikke melken.,1 -Jeg vet ikke om jeg kan ha koffein.
789,Jeg stoler på deg.,2 Greit.,du lurer på noe. Stol på meg.,1 Du må ikke ringe hver gang,2 Hver eneste gang?,vil jeg ringe til legen.,1 For å være sikker,2 -Én kopp kaffe skader ikke melken.
790,1 Du ringer!,Jeg stoler på deg.,2 Greit.,du lurer på noe. Stol på meg.,1 Du må ikke ringe hver gang,2 Hver eneste gang?,vil jeg ringe til legen.,1 For å være sikker
791,2 Jeg forstår ikke. . .,1 Du ringer!,Jeg stoler på deg.,2 Greit.,du lurer på noe. Stol på meg.,1 Du må ikke ringe hver gang,2 Hver eneste gang?,vil jeg ringe til legen.
792,Jeg prater i telefonen!,2 Jeg forstår ikke. . .,1 Du ringer!,Jeg stoler på deg.,2 Greit.,du lurer på noe. Stol på meg.,1 Du må ikke ringe hver gang,2 Hver eneste gang?
793,1 Det er rart å se dem med en baby.,Jeg prater i telefonen!,2 Jeg forstår ikke. . .,1 Du ringer!,Jeg stoler på deg.,2 Greit.,du lurer på noe. Stol på meg.,1 Du må ikke ringe hver gang
794,2 Det er så voksent.,1 Det er rart å se dem med en baby.,Jeg prater i telefonen!,2 Jeg forstår ikke. . .,1 Du ringer!,Jeg stoler på deg.,2 Greit.,du lurer på noe. Stol på meg.
795,1 Det føles som om vi alle blir voksne.,2 Det er så voksent.,1 Det er rart å se dem med en baby.,Jeg prater i telefonen!,2 Jeg forstår ikke. . .,1 Du ringer!,Jeg stoler på deg.,2 Greit.
796,2 En person som heter Pilten.,1 Det føles som om vi alle blir voksne.,2 Det er så voksent.,1 Det er rart å se dem med en baby.,Jeg prater i telefonen!,2 Jeg forstår ikke. . .,1 Du ringer!,Jeg stoler på deg.
797,1 Jeg dør av latter!,2 En person som heter Pilten.,1 Det føles som om vi alle blir voksne.,2 Det er så voksent.,1 Det er rart å se dem med en baby.,Jeg prater i telefonen!,2 Jeg forstår ikke. . .,1 Du ringer!
798,2 Så voksen du er!,1 Jeg dør av latter!,2 En person som heter Pilten.,1 Det føles som om vi alle blir voksne.,2 Det er så voksent.,1 Det er rart å se dem med en baby.,Jeg prater i telefonen!,2 Jeg forstår ikke. . .
799,1 Vet du hva?,2 Så voksen du er!,1 Jeg dør av latter!,2 En person som heter Pilten.,1 Det føles som om vi alle blir voksne.,2 Det er så voksent.,1 Det er rart å se dem med en baby.,Jeg prater i telefonen!
800,Jeg er faktisk det.,1 Vet du hva?,2 Så voksen du er!,1 Jeg dør av latter!,2 En person som heter Pilten.,1 Det føles som om vi alle blir voksne.,2 Det er så voksent.,1 Det er rart å se dem med en baby.
801,2 Etter det med Ruth tror jeg at,Jeg er faktisk det.,1 Vet du hva?,2 Så voksen du er!,1 Jeg dør av latter!,2 En person som heter Pilten.,1 Det føles som om vi alle blir voksne.,2 Det er så voksent.
802,jeg er klar for et alvorlig forhold.,2 Etter det med Ruth tror jeg at,Jeg er faktisk det.,1 Vet du hva?,2 Så voksen du er!,1 Jeg dør av latter!,2 En person som heter Pilten.,1 Det føles som om vi alle blir voksne.
803,Jeg vil gjerne treffe,jeg er klar for et alvorlig forhold.,2 Etter det med Ruth tror jeg at,Jeg er faktisk det.,1 Vet du hva?,2 Så voksen du er!,1 Jeg dør av latter!,2 En person som heter Pilten.
804,"ei snill, seriøs dame.",Jeg vil gjerne treffe,jeg er klar for et alvorlig forhold.,2 Etter det med Ruth tror jeg at,Jeg er faktisk det.,1 Vet du hva?,2 Så voksen du er!,1 Jeg dør av latter!
805,1 Og utseendet er ikke så viktig.,"ei snill, seriøs dame.",Jeg vil gjerne treffe,jeg er klar for et alvorlig forhold.,2 Etter det med Ruth tror jeg at,Jeg er faktisk det.,1 Vet du hva?,2 Så voksen du er!
806,"2 Jo, hun må være lekker.",1 Og utseendet er ikke så viktig.,"ei snill, seriøs dame.",Jeg vil gjerne treffe,jeg er klar for et alvorlig forhold.,2 Etter det med Ruth tror jeg at,Jeg er faktisk det.,1 Vet du hva?
807,1 Kanskje jeg vet om noen. Skaff,"2 Jo, hun må være lekker.",1 Og utseendet er ikke så viktig.,"ei snill, seriøs dame.",Jeg vil gjerne treffe,jeg er klar for et alvorlig forhold.,2 Etter det med Ruth tror jeg at,Jeg er faktisk det.
808,"meg en date, så går vi ut alle fire.",1 Kanskje jeg vet om noen. Skaff,"2 Jo, hun må være lekker.",1 Og utseendet er ikke så viktig.,"ei snill, seriøs dame.",Jeg vil gjerne treffe,jeg er klar for et alvorlig forhold.,2 Etter det med Ruth tror jeg at
809,2 -Hva med fredag?,"meg en date, så går vi ut alle fire.",1 Kanskje jeg vet om noen. Skaff,"2 Jo, hun må være lekker.",1 Og utseendet er ikke så viktig.,"ei snill, seriøs dame.",Jeg vil gjerne treffe,jeg er klar for et alvorlig forhold.
810,1 -Avtale!,2 -Hva med fredag?,"meg en date, så går vi ut alle fire.",1 Kanskje jeg vet om noen. Skaff,"2 Jo, hun må være lekker.",1 Og utseendet er ikke så viktig.,"ei snill, seriøs dame.",Jeg vil gjerne treffe
811,2 La meg se.,1 -Avtale!,2 -Hva med fredag?,"meg en date, så går vi ut alle fire.",1 Kanskje jeg vet om noen. Skaff,"2 Jo, hun må være lekker.",1 Og utseendet er ikke så viktig.,"ei snill, seriøs dame."
812,1 Vet du hvem som er bra?,2 La meg se.,1 -Avtale!,2 -Hva med fredag?,"meg en date, så går vi ut alle fire.",1 Kanskje jeg vet om noen. Skaff,"2 Jo, hun må være lekker.",1 Og utseendet er ikke så viktig.
813,Sandy.,1 Vet du hvem som er bra?,2 La meg se.,1 -Avtale!,2 -Hva med fredag?,"meg en date, så går vi ut alle fire.",1 Kanskje jeg vet om noen. Skaff,"2 Jo, hun må være lekker."
814,2 Da kan vi stryke Lana også.,Sandy.,1 Vet du hvem som er bra?,2 La meg se.,1 -Avtale!,2 -Hva med fredag?,"meg en date, så går vi ut alle fire.",1 Kanskje jeg vet om noen. Skaff
815,1 Hei!,2 Da kan vi stryke Lana også.,Sandy.,1 Vet du hvem som er bra?,2 La meg se.,1 -Avtale!,2 -Hva med fredag?,"meg en date, så går vi ut alle fire."
816,Jeg har gode nyheter.,1 Hei!,2 Da kan vi stryke Lana også.,Sandy.,1 Vet du hvem som er bra?,2 La meg se.,1 -Avtale!,2 -Hva med fredag?
817,2 Slapp du unna flyttingen?,Jeg har gode nyheter.,1 Hei!,2 Da kan vi stryke Lana også.,Sandy.,1 Vet du hvem som er bra?,2 La meg se.,1 -Avtale!
818,1 Jeg har nyheter.,2 Slapp du unna flyttingen?,Jeg har gode nyheter.,1 Hei!,2 Da kan vi stryke Lana også.,Sandy.,1 Vet du hvem som er bra?,2 La meg se.
819,2 Du må ikke flytte.,1 Jeg har nyheter.,2 Slapp du unna flyttingen?,Jeg har gode nyheter.,1 Hei!,2 Da kan vi stryke Lana også.,Sandy.,1 Vet du hvem som er bra?
820,Du kan bli her og beholde jobben.,2 Du må ikke flytte.,1 Jeg har nyheter.,2 Slapp du unna flyttingen?,Jeg har gode nyheter.,1 Hei!,2 Da kan vi stryke Lana også.,Sandy.
821,1 Jeg må bare være der fire dager i,Du kan bli her og beholde jobben.,2 Du må ikke flytte.,1 Jeg har nyheter.,2 Slapp du unna flyttingen?,Jeg har gode nyheter.,1 Hei!,2 Da kan vi stryke Lana også.
822,uka. De andre tre kan jeg være her.,1 Jeg må bare være der fire dager i,Du kan bli her og beholde jobben.,2 Du må ikke flytte.,1 Jeg har nyheter.,2 Slapp du unna flyttingen?,Jeg har gode nyheter.,1 Hei!
823,2 Blir du borte fire dager i uka?,uka. De andre tre kan jeg være her.,1 Jeg må bare være der fire dager i,Du kan bli her og beholde jobben.,2 Du må ikke flytte.,1 Jeg har nyheter.,2 Slapp du unna flyttingen?,Jeg har gode nyheter.
824,1 Nei.,2 Blir du borte fire dager i uka?,uka. De andre tre kan jeg være her.,1 Jeg må bare være der fire dager i,Du kan bli her og beholde jobben.,2 Du må ikke flytte.,1 Jeg har nyheter.,2 Slapp du unna flyttingen?
825,2 Er du bare vant til å si det?,1 Nei.,2 Blir du borte fire dager i uka?,uka. De andre tre kan jeg være her.,1 Jeg må bare være der fire dager i,Du kan bli her og beholde jobben.,2 Du må ikke flytte.,1 Jeg har nyheter.
826,1 Nei. Jeg kan ikke,2 Er du bare vant til å si det?,1 Nei.,2 Blir du borte fire dager i uka?,uka. De andre tre kan jeg være her.,1 Jeg må bare være der fire dager i,Du kan bli her og beholde jobben.,2 Du må ikke flytte.
827,være borte fra deg så lenge.,1 Nei. Jeg kan ikke,2 Er du bare vant til å si det?,1 Nei.,2 Blir du borte fire dager i uka?,uka. De andre tre kan jeg være her.,1 Jeg må bare være der fire dager i,Du kan bli her og beholde jobben.
828,2 Du er min mann. Jeg vil ikke bo i et,være borte fra deg så lenge.,1 Nei. Jeg kan ikke,2 Er du bare vant til å si det?,1 Nei.,2 Blir du borte fire dager i uka?,uka. De andre tre kan jeg være her.,1 Jeg må bare være der fire dager i
829,annet land 208 dager i året.,2 Du er min mann. Jeg vil ikke bo i et,være borte fra deg så lenge.,1 Nei. Jeg kan ikke,2 Er du bare vant til å si det?,1 Nei.,2 Blir du borte fire dager i uka?,uka. De andre tre kan jeg være her.
830,1 Vi kunne trengt deg.,annet land 208 dager i året.,2 Du er min mann. Jeg vil ikke bo i et,være borte fra deg så lenge.,1 Nei. Jeg kan ikke,2 Er du bare vant til å si det?,1 Nei.,2 Blir du borte fire dager i uka?
831,2 Takk for at du prøver. Men hvis,1 Vi kunne trengt deg.,annet land 208 dager i året.,2 Du er min mann. Jeg vil ikke bo i et,være borte fra deg så lenge.,1 Nei. Jeg kan ikke,2 Er du bare vant til å si det?,1 Nei.
